seed,P,n_steps,burn_in,sample_every,block_index,n_blocks,frame_start_in_raw,frame_end_in_raw_inclusive,mc_step_start,mc_step_end,mc_step_center,n_frames,n_paired_beads,p_inv,zeta50,w_zeta_gt5,rho_median,rho_mean
912562,256,240000,30000,20,6,8,7314,8625,161280,187500,174390.0,1312,335872,0.925682998285061,17.272613525390625,0.909251143292683,1.6425654888153076,1.837412714958191
912562,256,240000,30000,20,7,8,8626,9937,187520,213740,200630.0,1312,335872,0.9257336128048781,17.250425338745117,0.9094774199695121,1.6453683376312256,1.8372716903686523
912562,256,240000,30000,20,8,8,9938,11249,213760,239980,226870.0,1312,335872,0.924218154535061,17.418025970458984,0.9075272722942073,1.6219124794006348,1.8141714334487915
912562,256,240000,60000,20,1,8,2250,3374,60000,82480,71240.0,1125,288000,0.9250069444444444,17.328563690185547,0.9079340277777778,1.6357347965240479,1.8299744129180908
912562,256,240000,60000,20,2,8,3375,4499,82500,104980,93740.0,1125,288000,0.9251736111111111,17.231212615966797,0.9082222222222223,1.6443085670471191,1.835702657699585
912562,256,240000,60000,20,3,8,4500,5624,105000,127480,116240.0,1125,288000,0.92378125,17.298309326171875,0.9073958333333333,1.63701593875885,1.829287052154541
912562,256,240000,60000,20,4,8,5625,6749,127500,149980,138740.0,1125,288000,0.9232569444444444,17.380104064941406,0.9074861111111111,1.6261272430419922,1.8147512674331665
912562,256,240000,60000,20,5,8,6750,7874,150000,172480,161240.0,1125,288000,0.9264895833333333,17.283403396606445,0.9099583333333333,1.6449098587036133,1.8351733684539795
912562,256,240000,60000,20,6,8,7875,8999,172500,194980,183740.0,1125,288000,0.9251215277777778,17.246912002563477,0.9081319444444444,1.6392147541046143,1.8393869400024414
912562,256,240000,60000,20,7,8,9000,10124,195000,217480,206240.0,1125,288000,0.9249861111111111,17.327619552612305,0.9095555555555556,1.6383373737335205,1.8258554935455322
912562,256,240000,60000,20,8,8,10125,11249,217500,239980,228740.0,1125,288000,0.9243888888888889,17.421077728271484,0.9075173611111111,1.6221566200256348,1.813567042350769
912563,256,240000,15000,20,1,8,0,1406,15000,43120,29060.0,1407,360192,0.9270666755508173,17.293655395507812,0.9097703447050463,1.6440248489379883,1.83578360080719
912563,256,240000,15000,20,2,8,1407,2813,43140,71260,57200.0,1407,360192,0.9269528473702914,17.246950149536133,0.9099174884506042,1.6501801013946533,1.8409063816070557
912563,256,240000,15000,20,3,8,2814,4219,71280,99380,85330.0,1406,359936,0.9249977773826458,17.253814697265625,0.909153293918919,1.6464931964874268,1.8412705659866333
912563,256,240000,15000,20,4,8,4220,5625,99400,127500,113450.0,1406,359936,0.9274759957325747,17.189836502075195,0.9096950568990043,1.6573965549468994,1.8531992435455322
